FIPS,State,County,% Limited Access to Healthy Foods,% Adults with Diabetes,Average Number of Mentally Unhealthy Days,Food Environment Index,Parish,Borough
1001,Alabama,Autauga,11.991125,12.7,4.8502135182,6.7,,
1003,Alabama,Baldwin,5.424426597,10.3,4.7682935308,7.8,,
1005,Alabama,Barbour,10.739666573,17.5,5.5904935124,5.5,,
1007,Alabama,Bibb,2.6016270077,13.6,5.2711142294,7.6,,
1009,Alabama,Blount,2.8801498232,14.6,5.3578091017,7.9,,
1011,Alabama,Bullock,19.743350741,29.5,5.3948002615,5.0,,
1013,Alabama,Butler,2.9261219306,19.5,5.7180745884,6.8,,
1015,Alabama,Calhoun,9.178566583,17.0,5.683091019,6.6,,
1017,Alabama,Chambers,10.328558281,18.4,5.4699221658,6.7,,
1019,Alabama,Cherokee,0.2211124003,15.7,5.5674130978,7.7,,
1021,Alabama,Chilton,1.4605309614,19.0,5.4710145941,7.6,,
1023,Alabama,Choctaw,7.2904190524,17.9,5.6075168864,6.1,,
1025,Alabama,Clarke,11.154712303,24.8,5.5786889994,5.7,,
1027,Alabama,Clay,2.3268798802,16.2,5.6516660974,7.5,,
1029,Alabama,Cleburne,2.0717157696,13.9,5.4682313524,7.2,,
1031,Alabama,Coffee,5.9812031395,15.9,4.8169806185,7.2,,
1033,Alabama,Colbert,6.5517045351,16.7,5.2748240998,7.0,,
1035,Alabama,Conecuh,13.229776262,24.0,5.7612187241,5.8,,
1037,Alabama,Coosa,10.124807485,25.6,5.394006406,6.7,,
1039,Alabama,Covington,4.3703267511,16.7,5.3502832195,6.9,,
1041,Alabama,Crenshaw,17.03906038,19.8,5.4833061313,6.0,,
1043,Alabama,Cullman,3.1096062497,15.4,5.2048740522,7.6,,
1045,Alabama,Dale,10.559380333,15.6,5.0853215584,6.3,,
1047,Alabama,Dallas,11.556270932,17.2,5.4415761837,5.3,,
1049,Alabama,DeKalb,2.1669646088,15.8,5.8548148128,7.3,,
1051,Alabama,Elmore,6.9430217138,15.1,4.895493374,7.4,,
1053,Alabama,Escambia,7.2199400283,18.9,5.603439468,6.3,,
1055,Alabama,Etowah,9.4006166263,17.3,5.4129091583,6.7,,
1057,Alabama,Fayette,1.3544586987,19.6,5.5482310882,7.1,,
1059,Alabama,Franklin,4.1206193939,14.4,5.3001582131,7.4,,
1061,Alabama,Geneva,0.9307847981,19.3,5.737022701,7.0,,
1063,Alabama,Greene,21.342475717,21.8,5.8431634524,3.8,,
1065,Alabama,Hale,4.6475069881,17.8,5.6069019532,6.3,,
1067,Alabama,Henry,2.1421679703,16.3,5.4276570885,7.6,,
1069,Alabama,Houston,6.2826059381,16.4,5.2832052265,6.9,,
1071,Alabama,Jackson,3.2725105417,16.0,5.7458213342,7.1,,
1073,Alabama,Jefferson,12.271590614,12.7,4.717316979,6.6,,
1075,Alabama,Lamar,0.7506765904,21.6,5.8242923165,7.1,,
1077,Alabama,Lauderdale,5.0380740879,14.6,5.0981658506,7.4,,
1079,Alabama,Lawrence,2.1224881728,22.0,5.4602591672,7.4,,
1081,Alabama,Lee,12.249503723,10.3,5.1101566854,6.7,,
1083,Alabama,Limestone,3.5183538564,12.8,4.819614409,7.7,,
1085,Alabama,Lowndes,13.062144953,17.0,5.6816486501,5.0,,
1087,Alabama,Macon,21.63866443,16.8,5.342117151,4.9,,
1089,Alabama,Madison,7.4673451232,13.1,4.4439615626,7.5,,
1091,Alabama,Marengo,12.628970654,18.4,5.3848445987,5.7,,
1093,Alabama,Marion,3.2545426264,18.8,5.5906229447,7.0,,
1095,Alabama,Marshall,5.187505411,11.7,5.4466936672,7.2,,
1097,Alabama,Mobile,10.265925301,14.7,4.9434972941,6.6,,
1099,Alabama,Monroe,12.839526662,22.6,5.6172677042,5.4,,
1101,Alabama,Montgomery,14.572141064,16.2,4.8683899028,6.0,,
1103,Alabama,Morgan,4.0842018116,12.1,5.0926367433,7.5,,
1105,Alabama,Perry,4.8851175077,20.5,5.9482166833,5.1,,
1107,Alabama,Pickens,0.8921588404,19.0,5.2843482268,6.8,,
1109,Alabama,Pike,6.3043445736,14.4,5.3246958046,6.5,,
1111,Alabama,Randolph,6.8154830831,17.9,5.4310424438,7.1,,
1113,Alabama,Russell,5.5467032283,16.6,5.4491354093,6.7,,
1115,Alabama,St. Clair,1.5678584072,14.3,5.29530724,7.9,,
1117,Alabama,Shelby,4.3024797992,10.5,4.4316886561,8.3,,
1119,Alabama,Sumter,10.372885631,18.1,5.3858659198,5.4,,
1121,Alabama,Talladega,5.8546645943,17.0,5.6169797428,6.8,,
1123,Alabama,Tallapoosa,4.3249543956,14.3,5.3282915031,7.0,,
1125,Alabama,Tuscaloosa,6.4940425646,12.2,4.9692527494,7.3,,
1127,Alabama,Walker,5.2100697439,15.0,6.0250866954,6.8,,
1129,Alabama,Washington,3.5835658857,12.5,5.5574109129,6.7,,
1131,Alabama,Wilcox,30.464746029,18.7,5.7834810976,3.2,,
1133,Alabama,Winston,2.6550128463,21.8,5.5589529831,7.2,,
2000,Alaska,,9.1511836547,8.3,3.7219067238,6.4,,
2013,Alaska,,34.937509649,14.5,3.6530752944,5.4,,Aleutians East
2016,Alaska,,8.5740477886,7.5,3.5231782441,7.8,,Aleutians West
2020,Alaska,,5.1138388211,8.4,3.9235290709,8.1,,Anchorage
2050,Alaska,,41.987598721,6.5,5.8747764119,2.9,,Bethel
2060,Alaska,,17.663233061,17.6,4.3728724526,6.8,,Bristol Bay
2068,Alaska,,22.933714962,7.9,3.9987688849,5.8,,Denali
2070,Alaska,,32.197569737,8.3,5.3377974111,4.8,,Dillingham
2090,Alaska,,7.276819878,7.1,4.0818257461,7.9,,Fairbanks North Star
2100,Alaska,,7.4409816943,7.2,4.0968308309,7.5,,Haines
2105,Alaska,,38.767963566,15.1,4.6209643583,4.3,,Hoonah-Angoon
2110,Alaska,,5.9062833294,6.0,3.9026356036,8.2,,Juneau
2122,Alaska,,5.8353607423,9.7,4.6318706482,7.6,,Kenai Peninsula
2130,Alaska,,1.6138728744,10.8,4.1743252636,8.1,,Ketchikan Gateway
2150,Alaska,,4.6062556464,6.7,3.6012160858,8.0,,Kodiak Island
2158,Alaska,,41.839706701,4.6,6.7461502819,1.6,,Kusilvak
2164,Alaska,,43.516344351,11.8,5.1731227443,3.5,,Lake and Peninsula
2170,Alaska,,7.6239409239,8.9,4.3576588469,7.7,,Matanuska-Susitna
2180,Alaska,,38.093344951,6.5,5.559888974,3.7,,Nome
2185,Alaska,,13.197183464,5.5,4.3013923432,7.1,,North Slope
2188,Alaska,,34.05510868,14.6,5.6216499929,3.6,,Northwest Arctic
2195,Alaska,,0.6621122956,9.2,4.0661198284,8.0,,Petersburg
2198,Alaska,,14.764996087,12.0,4.9529666033,6.0,,Prince of Wales-Hyder
2220,Alaska,,4.1329062356,6.5,4.1677753809,8.3,,Sitka
2230,Alaska,,0.0505088909,4.7,3.8160420936,8.2,,Skagway
2240,Alaska,,18.824241233,10.4,4.247462563,6.2,,Southeast Fairbanks
2261,Alaska,,15.315398563,7.2,3.949636971,7.1,,Valdez-Cordova
2275,Alaska,,6.5665819907,18.7,4.4418555625,7.6,,Wrangell
2282,Alaska,,25.35433057,9.8,4.5862201006,6.2,,Yakutat
2290,Alaska,,49.745868785,9.6,5.5500656216,2.1,,Yukon-Koyukuk
12000,Florida,,7.1684496175,10.8,4.1571039844,6.9,,
12001,Florida,Alachua,6.4279615268,9.3,4.850223558,7.5,,
12003,Florida,Baker,12.960591851,14.5,5.3593721884,7.0,,
12005,Florida,Bay,10.582808978,12.0,5.2942258077,6.9,,
12007,Florida,Bradford,2.2470219273,12.6,5.4081621433,7.4,,
12009,Florida,Brevard,12.312836385,13.1,4.9747877648,7.3,,
12011,Florida,Broward,2.4764159096,9.1,4.3340522793,8.3,,
12013,Florida,Calhoun,8.9572682484,16.7,5.4415759128,7.3,,
12015,Florida,Charlotte,14.130415466,12.8,4.8869985084,6.9,,
12017,Florida,Citrus,12.885707514,13.3,5.3301304475,6.6,,
12019,Florida,Clay,6.8756737168,12.0,4.7923193488,8.0,,
12021,Florida,Collier,9.4764262112,9.1,4.1061458286,7.9,,
12023,Florida,Columbia,7.1913795639,15.0,5.1405281493,7.2,,
12027,Florida,DeSoto,5.7895063269,14.3,5.2248526076,7.1,,
12029,Florida,Dixie,3.5756214229,14.6,5.7739593259,6.9,,
12031,Florida,Duval,8.6308739184,13.0,4.839626087,7.3,,
12033,Florida,Escambia,11.99025068,13.0,4.7929101925,7.1,,
12035,Florida,Flagler,12.729294058,12.6,4.900995886,7.2,,
12037,Florida,Franklin,1.0101497707,11.6,5.107605377,7.5,,
12039,Florida,Gadsden,5.5838155596,20.5,5.2784714212,6.8,,
12041,Florida,Gilchrist,0.2694309258,15.1,5.4104989054,7.8,,
12043,Florida,Glades,31.09607927,21.0,4.9351363072,5.2,,
12045,Florida,Gulf,6.6778796873,13.2,4.7326748096,7.4,,
12047,Florida,Hamilton,10.813933485,14.9,5.0508838955,5.9,,
12049,Florida,Hardee,22.056473914,16.4,5.4084694645,5.9,,
12051,Florida,Hendry,15.003728132,12.9,5.1196438183,6.3,,
12053,Florida,Hernando,14.311963758,15.2,5.190434196,6.8,,
12055,Florida,Highlands,14.190678406,15.5,5.0065472882,6.5,,
12057,Florida,Hillsborough,7.4627275595,10.6,4.5419283368,7.7,,
12059,Florida,Holmes,8.8925198278,14.5,6.0763837867,6.4,,
12061,Florida,Indian River,13.596072966,10.9,4.673764292,7.1,,
12063,Florida,Jackson,2.4806461539,16.1,5.2791680977,7.3,,
12065,Florida,Jefferson,7.1940317891,14.3,5.0083591667,7.5,,
12067,Florida,Lafayette,3.1587880298,14.2,5.317938677,7.6,,
12069,Florida,Lake,10.79236923,12.9,5.0447067607,7.4,,
12071,Florida,Lee,9.6593305628,10.8,4.4311220599,7.6,,
12073,Florida,Leon,8.3841244639,8.2,4.7555581256,7.4,,
12075,Florida,Levy,3.6382734286,16.0,5.5760745668,7.4,,
12077,Florida,Liberty,8.6437270994,12.8,5.2035224844,7.1,,
12079,Florida,Madison,9.5627009507,16.3,5.4002700952,6.3,,
12081,Florida,Manatee,6.3701617721,11.0,4.33445341,7.9,,
12083,Florida,Marion,10.420021397,15.4,5.3243299089,7.1,,
12085,Florida,Martin,8.2637032934,10.2,4.5779704294,7.9,,
12086,Florida,Miami-Dade,1.7469897148,7.7,4.0829166017,8.3,,
12087,Florida,Monroe,8.2787728779,7.2,4.4635397942,7.9,,
12089,Florida,Nassau,7.4277843721,10.8,4.6114742328,7.9,,
12091,Florida,Okaloosa,10.15244652,11.5,4.5828063674,7.5,,
12093,Florida,Okeechobee,28.771103711,14.3,5.2737196574,5.3,,
12095,Florida,Orange,6.8793634595,8.8,4.5519579556,7.8,,
12097,Florida,Osceola,10.177950029,11.9,4.6172973339,7.5,,
12099,Florida,Palm Beach,4.6543735034,11.1,4.3499960178,8.1,,
12101,Florida,Pasco,8.2592758058,12.6,5.1578009497,7.5,,
12103,Florida,Pinellas,3.9365689189,10.0,4.5347310095,7.9,,
12105,Florida,Polk,12.813452775,13.3,4.8710736946,7.0,,
12107,Florida,Putnam,13.310322497,17.8,5.6917107962,6.2,,
12109,Florida,St. Johns,6.5713733959,8.2,4.1605444869,8.4,,
12111,Florida,St. Lucie,12.966776105,12.3,5.006558641,7.0,,
12113,Florida,Santa Rosa,11.467946487,11.7,5.0317605919,7.5,,
12115,Florida,Sarasota,6.9465087177,9.7,4.6081072159,8.0,,
12117,Florida,Seminole,7.1562641956,10.1,4.3241176891,8.1,,
12119,Florida,Sumter,4.2840258556,16.6,4.3606316983,8.0,,
12121,Florida,Suwannee,9.1673775135,14.5,5.2024943702,7.0,,
12123,Florida,Taylor,12.107335082,13.7,5.5173817046,6.5,,
12125,Florida,Union,9.5417443885,14.1,5.6762763282,6.9,,
12127,Florida,Volusia,13.267241129,13.1,5.2004383847,7.0,,
12129,Florida,Wakulla,0.2599341168,9.4,4.9559881302,8.4,,
12131,Florida,Walton,5.5328784198,12.7,5.0144667735,7.7,,
12133,Florida,Washington,22.140621168,14.3,5.94705008,5.5,,
53000,Washington,,5.5393140113,9.3,4.0185428507,8.2,,
53001,Washington,Adams,7.4628012324,8.9,4.7391226476,7.6,,
53003,Washington,Asotin,5.7153176976,12.8,4.8246601478,7.7,,
53005,Washington,Benton,4.4179094453,9.3,4.1375317097,8.2,,
53007,Washington,Chelan,6.0437983772,8.2,4.2202745129,8.2,,
53009,Washington,Clallam,8.8361249852,14.2,4.485072538,7.1,,
53011,Washington,Clark,4.6190019549,10.3,4.1901298633,8.4,,
53013,Washington,Columbia,10.663043911,12.3,4.2279721051,7.1,,
53015,Washington,Cowlitz,8.6006953863,13.2,4.8111206986,7.1,,
53017,Washington,Douglas,17.005696899,8.4,4.3540960834,6.9,,
53019,Washington,Ferry,26.121979872,13.1,5.1796501582,4.7,,
53021,Washington,Franklin,8.4160790683,10.1,4.1889612365,8.0,,
53023,Washington,Garfield,37.828216871,13.6,4.1459401126,4.8,,
53025,Washington,Grant,9.5578741185,9.3,4.4562625234,7.7,,
53027,Washington,Grays Harbor,11.884261403,13.0,4.6223078356,6.8,,
53029,Washington,Island,7.7532548468,8.6,4.0419677211,7.9,,
53031,Washington,Jefferson,8.2521564182,7.9,4.1521290698,7.5,,
53033,Washington,King,2.7763421321,7.7,3.8482022596,8.7,,
53035,Washington,Kitsap,7.4992612454,8.9,4.1330469876,7.9,,
53037,Washington,Kittitas,10.49612086,6.5,4.2600945108,7.4,,
53039,Washington,Klickitat,12.589773027,11.5,4.4462810439,7.0,,
53041,Washington,Lewis,8.3984892592,11.8,4.4492408083,7.2,,
53043,Washington,Lincoln,17.720443551,11.4,4.5580838357,6.7,,
53045,Washington,Mason,3.3037730773,11.4,4.8278671475,7.7,,
53047,Washington,Okanogan,8.5728452572,9.9,4.7854460561,7.0,,
53049,Washington,Pacific,13.481156415,14.0,4.7264476949,6.3,,
53051,Washington,Pend Oreille,14.353247005,12.5,4.7062852776,6.6,,
53053,Washington,Pierce,8.3232509254,10.4,4.1523695661,7.7,,
53055,Washington,San Juan,0.0522452883,6.1,3.8419740121,8.7,,
53057,Washington,Skagit,7.3923859491,9.8,4.4644047773,7.8,,
53059,Washington,Skamania,1.1503629418,11.8,4.4242883982,8.3,,
53061,Washington,Snohomish,3.8916059951,8.9,4.1406636226,8.6,,
53063,Washington,Spokane,4.4138186495,9.8,4.5598103181,7.9,,
53065,Washington,Stevens,13.521338899,10.4,4.8200074923,6.7,,
53067,Washington,Thurston,6.990409152,10.2,4.0922699538,8.0,,
53069,Washington,Wahkiakum,30.809900461,14.8,4.3940711886,5.6,,
53071,Washington,Walla Walla,5.1239955651,12.1,4.4184839477,8.1,,
53073,Washington,Whatcom,7.4709443159,7.9,4.5147371714,7.8,,
53075,Washington,Whitman,8.2574748087,7.5,4.1696172562,7.4,,
53077,Washington,Yakima,5.4021837545,11.5,4.4485742774,7.9,,
50000,Vermont,,3.2924516921,8.8,4.1581186774,8.7,,
50001,Vermont,Addison,0.7716499158,8.1,4.3171558442,8.9,,
50003,Vermont,Bennington,4.2748974079,10.9,4.6623278707,8.1,,
50005,Vermont,Caledonia,1.9920403389,9.2,4.7356355854,8.3,,
50007,Vermont,Chittenden,3.0313340045,6.7,4.0458799946,8.6,,
50009,Vermont,Essex,13.315832092,13.0,4.8658940296,7.1,,
50011,Vermont,Franklin,1.0011252474,10.9,4.3341745325,8.9,,
50013,Vermont,Grand Isle,0.234952355,9.8,4.1412892009,9.1,,
50015,Vermont,Lamoille,0.7310784966,8.2,4.6378561152,8.6,,
50017,Vermont,Orange,3.3401686351,10.0,4.6276992543,8.4,,
50019,Vermont,Orleans,6.0720590092,9.8,4.9900117341,7.8,,
50021,Vermont,Rutland,4.5407877777,10.8,4.668607819,8.2,,
50023,Vermont,Washington,4.6182806653,7.9,4.4150801291,8.3,,
50025,Vermont,Windham,4.5639860914,8.2,4.8131730284,8.0,,
50027,Vermont,Windsor,2.91254175,9.8,4.5362703277,8.5,,
23000,Maine,,3.8330192548,10.4,4.9972357151,8.0,,
23001,Maine,Androscoggin,3.5495686489,12.2,4.874149424,7.8,,
23003,Maine,Aroostook,4.6834771793,15.0,5.3833673957,7.2,,
23005,Maine,Cumberland,4.5013448241,8.3,4.151087241,8.3,,
23007,Maine,Franklin,1.0385353272,9.6,4.617587355,8.3,,
23009,Maine,Hancock,1.7730615164,9.5,4.6835399605,8.2,,
23011,Maine,Kennebec,2.5049943169,10.4,4.9711846743,8.0,,
23013,Maine,Knox,5.0086410381,8.1,4.4771603219,8.0,,
23015,Maine,Lincoln,1.3800496498,9.6,4.7998860726,8.2,,
23017,Maine,Oxford,2.2902843646,10.7,4.8013179529,7.8,,
23019,Maine,Penobscot,5.4524878258,12.3,5.1345371737,7.5,,
23021,Maine,Piscataquis,1.9693490236,13.1,5.2306118802,7.2,,
